Sequence ID	Position	Nucleotide	Acceptor Score	Donor Score
Ex2WT_for_SpliceAI_3	15	G	6.270131e-05	0.52291924
Ex2WT_for_SpliceAI_3	516	G	6.562319e-05	0.17162251
Ex2WT_for_SpliceAI_3	1190	T	0.8293012	4.8046622e-06
Ex2WT_for_SpliceAI_3	1302	G	0.0010784526	0.514758
Ex2WT_for_SpliceAI_3	2464	A	0.2337882	5.913877e-05
Ex2FLEx_for_SpliceAI_3	15	G	0.00011019935	0.25117153
Ex2FLEx_for_SpliceAI_3	320	C	0.14713906	0.00016232277
Ex2FLEx_Recombination_for_SpliceAI_3	15	G	5.5860437e-05	0.5324613
Ex2FLEx_Recombination_for_SpliceAI_3	516	G	4.6860845e-05	0.19433853
Ex2FLEx_Recombination_for_SpliceAI_3	1224	T	0.83926123	4.6939012e-06
Ex2FLEx_Recombination_for_SpliceAI_3	1336	G	0.0014899947	0.40489182
Ex2FLEx_Recombination_for_SpliceAI_3	2532	A	0.18500933	4.660528e-05
