Sequence ID	Position	Nucleotide	Acceptor Score	Donor Score
Ex2WT_for_SpliceAI_7	15	G	6.270131e-05	0.52291924
Ex2WT_for_SpliceAI_7	516	G	6.562319e-05	0.17162251
Ex2WT_for_SpliceAI_7	1190	T	0.8293012	4.8046622e-06
Ex2WT_for_SpliceAI_7	1302	G	0.0010784526	0.514758
Ex2WT_for_SpliceAI_7	2464	A	0.2337882	5.913877e-05
Ex2FLEx_for_SpliceAI_7	15	G	0.00011041948	0.21129541
Ex2FLEx_for_SpliceAI_7	320	C	0.13459614	0.00076536706
Ex2FLEx_for_SpliceAI_7	1489	G	0.00039975828	0.11823515
Ex2FLEx_Recombination_for_SpliceAI_7	15	G	5.5609515e-05	0.53911763
Ex2FLEx_Recombination_for_SpliceAI_7	516	G	5.4976488e-05	0.18598558
Ex2FLEx_Recombination_for_SpliceAI_7	1224	T	0.8087619	3.9166725e-06
Ex2FLEx_Recombination_for_SpliceAI_7	1336	G	0.0010344258	0.3471961
Ex2FLEx_Recombination_for_SpliceAI_7	2532	A	0.18441002	6.186885e-05
